prompt_id,prompt_text,stat_value
0,"After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the ",-0.1632993072271347
1,"""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by ",-0.2409657984972
2,"8i announced today it has launched a web player, the 8i Portal, for its volumetric 3D video of people in ",-1.510526418685913
3,The Arlington County Board plans to vote Saturday afternoon on giving Amazon $23 million and other incentives to build a ,-2.759598731994629
4,"Karl Kispert, principal of cyber and information security, has more than 28 years of experience in selling, managing and delivering ",0.9011551141738892
5,The Hawaii man who was fired after issuing the false ballistic missile alert in mid-January told reporters Friday that he ,-0.1666666716337204
6,"Shania Twain expected to break the charts with new album NOW! Even after a 15-year hiatus, she’s still the one! ",-1.0
7,"A version of this article appeared in the print edition of The Daily Star on July 12, 2018, on page ",1.4021364450454712
8,A blind man in his 60s is searching for the young man who pulled him back from an approaching train ,0.41812101006507874
9,"After Kevin’s horrific leg injury, everyone is asking: will he ever play basketball again? Dr. Glashow, co-chief of sports medicine ",1.212678074836731
10,This month some important Walmart news did not get the attention it deserved. The news wasn't some flashy announcement about ,-0.24913644790649414
11,University of Utah track and field athlete Lauren McCluskey was found shot dead Monday night in the backseat of a ,-0.7474093437194824
12,The Linux kernel now includes everything that is needed to use 3D acceleration with all GeForce graphics chips. Drivers have ,0.4210759699344635
13,"The location of the July 15, 2002 flare is shown at left. The other panels compare the scale of Earth ",0.1678362786769867
14,Last summer I took a cross-country road trip with a group of people driving different types of electric vehicles. It ,0.9135003089904785
15,"Larry checks in with KPCC reporter Sharon McNary, who’s been hitting up several polling stations in Orange County and Los ",0.5070925354957581
16,"According to Variety, one of the movies about the 1973 tennis match between Billie Jean King and Bobby Riggs is ",-0.16552117466926575
17,Health authorities in New Zealand said that about 200 passengers on the Dawn Princess ship became infected with the norovirus. ,-0.41522741317749023
18,"Politico, which broke the PR story, reports, “The group circulated a memo to reporters and producers late Monday that discouraged ",1.3926942348480225
19,NEW YORK (AP) — Could the U.S. lose its top credit rating even if a deal is reached to raise ,1.479590892791748
20,MAMADOU SAKHO remains unavailable for selection for Liverpool's Europa League semi-final first leg clash with Villarreal in Spain on Thursday ,-1.1355499029159546
21,"IHS Markit INFO, -0.02% a world leader in critical information, analytics and solutions, expanded its alternative data offering for asset ",0.662084698677063
22,"MK Moshe Feiglin in a Knesset committee meeting, next to MK Ahmad Tibi, in 2014. It appears Feiglin is on ",1.4411534070968628
23,SOUND FORGE Audio Cleaning Lab can be used to record any sound you can hear on your computer - from ,-0.7526178359985352
24,"What’s the news? A couple of weeks ago, Instagram promised you’d be able to download your data from its servers. ",-0.7373087406158447
25,"President Donald Trump returned to Washington, DC on Monday for a very important event. It was not for a meeting ",-0.8276059031486511
26,"So you might ask yourself, “What is going on?” How can things be so bad that educators feel the need ",0.0824786126613617
27,"ST. JOHNS COUNTY, Fla. - Commissioners in St. Johns County voted unanimously to postpone any legislative action against a localized ",-1.3333333730697632
28,Come test your luck on the best slot machine app in the app store. Great graphics make this app so ,-0.24913644790649414
29,This was Reinsdorf's reply on Friday when asked whether the preseason announcement that Phil Jackson will not return as coach ,-0.0824786126613617
30,"(HOST) As the season for summer blockbuster movies about super heroes and rings of power approaches, commentator Willem Lange is ",-1.1586482524871826
31,This is the news you’re looking for. Carrie Fisher has seemingly confirmed to Palm Beach Illustrated magazine that she will ,2.0
32,"numerous aunts, uncles and cousins. She attended Shanksville Stonycreek High School and was a member of St. Paul's Lutheran Church, ",1.772810459136963
33,In the market for a low-cost networked storage solution? You may want to take a look at the Netgear ReadyNAS ,-0.7579367160797119
34,"No, Trump can’t pardon himself. The Constitution tells us so. Correction: An earlier version of this op-ed misspelled the name ",0.5696519017219543
35,"MANILA, Philippines — The state-run Land Bank of the Philippines (Landbank) has extended by one more month or until Jan. ",0.49319693446159363
36,Jerry Springer says he is still deciding whether he will run for Ohio governor in 2018. Speculation around Springer’s potential ,0.32879796624183655
37,It’s a continuation of a trend they have seen over the last several years. “It’s been almost three years of ,-1.6439898014068604
38,"This mildly racy spot introduces us to the character of the brown M&M, who only looks like she’s not wearing ",-0.9863938689231873
39,"Originally Published: September 24, 2018 8 p.m. Soledad O’Brien, 10 to 11:30 a.m., Yavapai College Performing Arts Center, 1100 E ",0.23942606151103973
40,"Located near all that the Catskills has to offer! Close to Hunter Mountain, Wyndham, state land, antiquing and many other ",-1.2977713346481323
41,"Attendees visit the Vodafone Group pavilion at the Mobile World Congress in Barcelona, Spain, March 4, 2015. Vodafone, one of ",1.1281521320343018
42,"NORTH BRUNSWICK, N.J. — Body cameras captured the moment a North Brunswick police officer climbed up a burning building to ",-0.9797958731651306
43,The Congress of South African Trade Unions has noted the latest cabinet reshuffle by President Jacob Zuma. We can confirm ,1.479590892791748
